employeeid,age,gender,department,jobrole,monthlyincome,yearsatcompany,distancefromhome,overtime,martialstatus,educationfield,jobsatisfaction,environmentstatiafaction,attrition
5724,46,Male,Sales,Account Manager,5990,4,16,No,Married,Marketing,2,4,No
5725,37,Male,Research & Development,Laboratory Technician,4242,9,26,Yes,Single,Marketing,2,2,Yes
5726,51,Male,Research & Development,Laboratory Technician,3723,3,9,Yes,Single,Life Sciences,4,2,No
5727,45,Male,Finance,Accountant,2760,0,16,No,Divorced,Marketing,3,1,No
5728,38,Female,Sales,Account Manager,8481,15,38,Yes,Single,Life Sciences,1,2,No
5729,19,Male,Sales,Account Manager,5244,1,14,No,Married,Life Sciences,3,2,No
5730,55,Female,Sales,Account Manager,4291,3,38,Yes,Divorced,Life Sciences,3,1,Yes
5731,43,Female,IT,System Administrator,6525,8,21,No,Single,Medical,4,3,No
5732,42,Female,Finance,Accountant,2938,3,24,No,Married,Marketing,4,3,No
5733,49,Male,IT,Software Engineer,8580,19,6,No,Single,Marketing,3,1,No
5734,37,Male,Finance,Accountant,5136,4,12,No,Married,Technical Degree,2,2,Yes
5735,30,Female,Human Resources,HR Executive,5397,5,5,Yes,Single,Life Sciences,3,4,No
5736,60,Male,Operations,Operations Analyst,6600,11,29,No,Single,Medical,4,4,No
5737,33,Male,Human Resources,HR Manager,4056,1,10,No,Single,Technical Degree,2,4,No
5738,31,Female,Human Resources,HR Executive,6708,4,31,No,Divorced,Technical Degree,2,3,No
5739,38,Female,Operations,Operations Manager,6629,10,28,No,Married,Technical Degree,2,4,No
5740,22,Male,IT,BI Analyst,2528,0,2,No,Divorced,Technical Degree,4,2,No
5741,24,Male,Human Resources,HR Manager,5903,6,37,No,Married,Other,3,2,No
5742,19,Female,Sales,Account Manager,3673,1,21,No,Single,Life Sciences,3,1,No
5743,41,Male,Human Resources,Recruiter,4721,3,20,Yes,Divorced,Other,1,4,No
5744,24,Female,IT,System Administrator,2678,0,5,Yes,Single,Other,3,1,No
5745,47,Male,Research & Development,Data Analyst,6199,3,27,Yes,Divorced,Life Sciences,1,2,No
5746,59,Male,Finance,Financial Analyst,4716,2,25,No,Married,Life Sciences,2,1,No
5747,48,Male,Finance,Finance Manager,7057,6,18,No,Married,Medical,1,3,No
5748,22,Male,IT,Software Engineer,4930,4,38,No,Divorced,Medical,4,1,No
5749,24,Female,Research & Development,Laboratory Technician,4203,4,9,Yes,Married,Marketing,4,2,No
5750,29,Male,Research & Development,Research Scientist,4729,5,20,Yes,Married,Technical Degree,1,2,No
5751,46,Female,Research & Development,Research Scientist,6504,8,18,Yes,Single,Life Sciences,1,1,No
5752,42,Female,IT,BI Analyst,7511,8,37,No,Divorced,Medical,1,1,No
5753,37,Male,Operations,Operations Manager,7399,13,7,No,Single,Life Sciences,3,2,No
5754,18,Male,Human Resources,Recruiter,3578,0,7,No,Married,Life Sciences,2,3,No
5755,18,Male,Human Resources,HR Manager,5273,0,31,No,Divorced,Other,4,3,No
5756,26,Male,Finance,Finance Manager,6112,8,36,No,Single,Life Sciences,2,4,No
5757,57,Male,Human Resources,HR Executive,3076,3,9,No,Married,Other,1,4,No
5758,60,Male,Operations,Operations Manager,7089,5,4,No,Single,Medical,3,3,No
5759,18,Female,Finance,Accountant,4942,0,28,Yes,Married,Medical,1,1,No
5760,30,Male,Finance,Finance Manager,5909,9,23,No,Divorced,Other,3,3,Yes
5761,37,Male,Finance,Accountant,3259,11,36,Yes,Single,Technical Degree,1,1,Yes
5762,30,Female,Human Resources,Recruiter,3151,1,34,No,Single,Marketing,1,1,No
5763,35,Female,Operations,Operations Manager,4903,2,16,Yes,Single,Marketing,2,4,No
5764,37,Female,Finance,Financial Analyst,6222,7,11,No,Single,Marketing,2,2,Yes
5765,46,Male,Research & Development,Laboratory Technician,4859,8,13,No,Divorced,Marketing,4,1,No
5766,48,Female,Sales,Sales Executive,4725,1,32,Yes,Single,Medical,3,4,Yes
5767,58,Male,Sales,Account Manager,2865,3,20,Yes,Divorced,Medical,1,1,Yes
5768,21,Female,Human Resources,HR Executive,6424,3,14,Yes,Married,Medical,2,4,No
5769,26,Male,Sales,Sales Executive,6224,8,16,Yes,Married,Technical Degree,3,4,No
5770,30,Female,Human Resources,HR Manager,7643,8,40,No,Divorced,Life Sciences,3,4,No
5771,38,Female,Finance,Finance Manager,6082,3,19,Yes,Divorced,Marketing,2,3,Yes
5772,42,Female,Research & Development,Data Analyst,6846,7,32,No,Divorced,Marketing,4,2,No
5773,31,Female,Research & Development,Data Analyst,7055,6,26,Yes,Married,Medical,4,1,No
5774,50,Female,Human Resources,HR Executive,3719,6,22,Yes,Divorced,Life Sciences,1,1,No
5775,56,Female,Research & Development,Laboratory Technician,5612,11,23,No,Divorced,Other,4,1,No
5776,34,Female,Operations,Coordinator,6641,11,18,Yes,Married,Marketing,4,3,Yes
5777,48,Male,Research & Development,Laboratory Technician,7861,10,23,No,Married,Life Sciences,1,4,No
5778,41,Female,Research & Development,Laboratory Technician,6360,7,15,No,Divorced,Other,2,2,No
5779,39,Female,Human Resources,HR Executive,3333,7,4,Yes,Married,Technical Degree,2,2,Yes
5780,46,Male,IT,System Administrator,4160,6,6,No,Married,Other,3,4,No
5781,32,Female,Operations,Operations Analyst,4128,6,20,No,Married,Other,3,1,No
5782,31,Male,IT,BI Analyst,6175,1,40,Yes,Married,Other,3,2,Yes
5783,39,Male,Finance,Financial Analyst,6495,10,6,Yes,Divorced,Technical Degree,1,2,No
5784,46,Female,IT,System Administrator,5202,6,34,No,Divorced,Technical Degree,3,4,No
5785,22,Female,Sales,Sales Representative,4188,4,40,Yes,Married,Life Sciences,1,4,No
5786,56,Male,Research & Development,Laboratory Technician,5946,9,4,No,Married,Medical,1,4,No
5787,47,Male,IT,BI Analyst,5026,4,18,No,Divorced,Life Sciences,1,3,No
5788,37,Female,IT,BI Analyst,5144,3,31,No,Single,Technical Degree,1,1,Yes
5789,46,Male,Research & Development,Research Scientist,5312,3,23,No,Single,Medical,1,3,No
5790,54,Male,Human Resources,HR Manager,5636,10,36,Yes,Single,Medical,4,1,No
5791,32,Female,Operations,Operations Manager,5803,5,2,Yes,Divorced,Other,1,1,No
5792,20,Female,Human Resources,Recruiter,5057,2,17,Yes,Single,Technical Degree,2,3,No
5793,59,Female,Research & Development,Research Scientist,7299,8,1,No,Married,Technical Degree,1,1,No
5794,26,Female,Human Resources,HR Manager,3618,3,14,No,Married,Life Sciences,4,1,No
5795,27,Female,Finance,Accountant,3838,4,37,Yes,Divorced,Other,2,3,No
5796,60,Female,Finance,Finance Manager,4605,8,34,Yes,Single,Medical,4,3,Yes
5797,54,Male,Research & Development,Laboratory Technician,9305,15,39,No,Married,Life Sciences,1,3,No
5798,27,Female,Research & Development,Laboratory Technician,6540,6,26,Yes,Divorced,Medical,3,2,No
5799,51,Male,Sales,Sales Executive,7028,0,31,No,Married,Medical,1,3,No
5800,49,Male,IT,System Administrator,4605,3,3,No,Divorced,Technical Degree,3,4,No
5801,42,Male,Sales,Sales Representative,4583,0,26,No,Single,Technical Degree,2,3,No
5802,53,Female,IT,System Administrator,4371,1,34,No,Single,Medical,4,4,No
5803,31,Male,Finance,Accountant,3456,3,26,Yes,Divorced,Other,1,2,No
5804,19,Female,Research & Development,Laboratory Technician,4520,1,24,Yes,Divorced,Marketing,4,1,No
5805,43,Female,Operations,Operations Analyst,3101,0,14,Yes,Single,Technical Degree,4,1,Yes
5806,52,Male,Finance,Accountant,9122,8,26,Yes,Divorced,Medical,4,3,Yes
5807,37,Female,Finance,Accountant,4649,7,28,No,Single,Technical Degree,4,3,No
5808,30,Male,Research & Development,Laboratory Technician,5037,4,9,Yes,Single,Life Sciences,2,2,No
5809,21,Female,Research & Development,Research Scientist,5833,3,2,Yes,Divorced,Other,4,2,No
5810,31,Male,Operations,Coordinator,6589,6,12,No,Single,Marketing,1,1,No
5811,31,Male,Operations,Coordinator,6590,4,39,No,Single,Medical,4,3,No
5812,57,Male,IT,BI Analyst,4084,5,5,Yes,Single,Technical Degree,2,1,Yes
5813,48,Female,Human Resources,Recruiter,5310,14,4,No,Divorced,Marketing,1,3,No
5814,32,Female,Sales,Sales Executive,3997,3,27,Yes,Divorced,Marketing,2,2,No
5815,45,Male,IT,Software Engineer,10168,16,36,Yes,Divorced,Life Sciences,1,2,No
5816,53,Male,Research & Development,Research Scientist,6353,11,30,Yes,Divorced,Technical Degree,2,4,Yes
5817,36,Female,Operations,Operations Analyst,8192,15,39,No,Married,Technical Degree,4,1,No
5818,38,Female,Operations,Coordinator,6465,9,1,Yes,Divorced,Other,1,1,No
5819,55,Female,Operations,Operations Analyst,4947,5,5,Yes,Divorced,Other,2,2,No
5820,51,Male,Human Resources,HR Manager,5980,5,5,Yes,Divorced,Other,2,1,No
5821,22,Male,IT,BI Analyst,4962,4,15,Yes,Divorced,Medical,4,2,No
5822,37,Female,Operations,Operations Manager,3439,12,6,No,Married,Life Sciences,2,1,Yes
5823,37,Male,IT,Software Engineer,6861,8,22,No,Married,Marketing,3,2,No
5824,23,Female,IT,System Administrator,5172,5,31,No,Single,Medical,3,3,No
5825,60,Male,Research & Development,Data Analyst,6683,6,39,Yes,Married,Technical Degree,1,1,No
5826,18,Male,IT,Software Engineer,3639,0,37,No,Single,Marketing,2,4,No
5827,27,Female,Sales,Account Manager,7764,7,3,No,Divorced,Technical Degree,2,3,No
5828,28,Female,Sales,Sales Representative,3171,0,5,No,Married,Technical Degree,3,3,No
5829,44,Female,IT,BI Analyst,8061,11,35,Yes,Divorced,Medical,4,4,No
5830,19,Male,Finance,Financial Analyst,3711,1,24,No,Single,Life Sciences,2,4,No
5831,21,Male,Human Resources,HR Executive,3790,2,38,Yes,Single,Life Sciences,2,3,No
5832,48,Female,Sales,Sales Executive,6245,12,8,No,Single,Other,2,3,No
5833,56,Female,Sales,Sales Representative,4595,6,18,No,Divorced,Life Sciences,1,3,No
5834,37,Female,Sales,Account Manager,5603,9,1,No,Single,Life Sciences,1,4,No
5835,19,Female,Finance,Financial Analyst,2229,1,9,No,Single,Medical,4,3,Yes
5836,34,Male,Operations,Coordinator,4009,0,15,No,Married,Other,1,2,No
5837,22,Male,Research & Development,Data Analyst,6526,0,31,Yes,Single,Medical,2,4,Yes
5838,52,Female,Research & Development,Laboratory Technician,3039,0,2,Yes,Single,Technical Degree,2,3,Yes
5839,41,Female,Sales,Account Manager,5061,6,11,No,Single,Marketing,1,2,Yes
5840,32,Male,Sales,Sales Representative,3100,1,20,No,Divorced,Other,3,2,No
5841,60,Female,Human Resources,Recruiter,4155,2,27,No,Divorced,Medical,4,3,No
5842,35,Male,Research & Development,Research Scientist,7343,13,22,Yes,Divorced,Life Sciences,2,1,No
5843,33,Male,IT,System Administrator,7108,10,9,No,Married,Other,1,4,No
5844,56,Female,Operations,Coordinator,3140,10,16,No,Single,Medical,1,3,No
5845,31,Female,Research & Development,Data Analyst,6568,4,26,No,Divorced,Life Sciences,3,3,No
5846,58,Female,Research & Development,Research Scientist,6864,3,35,Yes,Married,Other,3,2,No
5847,56,Female,Research & Development,Laboratory Technician,6187,11,12,No,Married,Marketing,1,2,Yes
5848,41,Male,Research & Development,Data Analyst,3533,3,8,Yes,Single,Life Sciences,3,4,No
5849,47,Female,Sales,Account Manager,3270,3,1,Yes,Married,Life Sciences,3,1,No
5850,58,Male,Operations,Operations Manager,4002,7,36,Yes,Single,Technical Degree,1,1,No
5851,54,Female,Human Resources,HR Manager,6753,8,7,No,Married,Medical,2,2,No
5852,47,Female,Research & Development,Data Analyst,5859,0,32,No,Single,Other,2,1,No
5853,28,Male,Research & Development,Data Analyst,6899,8,3,No,Married,Other,1,1,No
5854,52,Male,Operations,Operations Manager,5246,2,3,Yes,Single,Medical,2,3,No
5855,18,Female,Operations,Operations Manager,3881,0,34,No,Single,Medical,3,4,No
5856,20,Male,Operations,Coordinator,4552,2,12,Yes,Divorced,Marketing,4,3,No
5857,50,Female,IT,BI Analyst,6851,10,15,No,Married,Technical Degree,1,4,No
5858,49,Female,IT,Software Engineer,3994,8,1,No,Married,Life Sciences,2,2,No
5859,59,Male,Human Resources,HR Manager,4868,7,23,No,Divorced,Medical,1,3,Yes
5860,57,Male,Research & Development,Laboratory Technician,6592,2,37,No,Divorced,Technical Degree,1,3,No
5861,32,Female,Human Resources,Recruiter,4046,5,8,Yes,Divorced,Life Sciences,4,2,Yes
5862,19,Male,Sales,Sales Executive,2689,1,15,Yes,Single,Life Sciences,1,1,No
5863,40,Male,Sales,Sales Representative,5915,11,11,No,Married,Medical,4,4,No
5864,36,Female,Human Resources,HR Manager,7627,8,14,Yes,Married,Technical Degree,1,3,No
5865,50,Male,Human Resources,HR Executive,5388,3,34,Yes,Married,Life Sciences,2,2,Yes
5866,23,Male,Finance,Finance Manager,7184,1,15,No,Married,Life Sciences,1,4,No
5867,39,Female,Research & Development,Laboratory Technician,6018,9,28,No,Single,Other,2,3,No
5868,28,Female,Sales,Sales Executive,4363,2,9,Yes,Single,Marketing,2,2,No
5869,48,Female,Research & Development,Research Scientist,7343,4,25,No,Married,Other,1,2,No
5870,41,Male,Research & Development,Laboratory Technician,4411,1,16,Yes,Single,Other,2,2,Yes
5871,35,Male,Human Resources,HR Manager,5109,5,17,Yes,Divorced,Other,3,1,No
5872,32,Female,Research & Development,Laboratory Technician,5110,5,38,No,Divorced,Marketing,3,1,No
5873,59,Male,Sales,Account Manager,6980,9,19,Yes,Married,Medical,2,2,No
5874,44,Female,Operations,Operations Manager,2109,7,23,Yes,Married,Medical,2,2,No
5875,21,Female,Research & Development,Laboratory Technician,2763,3,23,Yes,Single,Marketing,3,3,No
5876,25,Male,Sales,Sales Representative,7519,7,8,No,Divorced,Technical Degree,4,4,No
5877,27,Male,IT,Software Engineer,4185,2,24,Yes,Divorced,Marketing,4,4,No
5878,24,Female,Operations,Operations Manager,6232,3,18,Yes,Divorced,Technical Degree,2,4,Yes
5879,55,Female,Finance,Accountant,7573,6,32,Yes,Single,Medical,3,1,No
5880,44,Female,Operations,Operations Analyst,6040,7,15,No,Single,Medical,2,3,Yes
5881,21,Female,Finance,Financial Analyst,5731,3,39,No,Divorced,Medical,1,1,No
5882,52,Male,Human Resources,HR Executive,4102,0,16,No,Single,Medical,2,2,No
5883,49,Male,Operations,Operations Manager,6120,5,19,No,Married,Technical Degree,4,3,No
5884,24,Male,Human Resources,HR Executive,4003,5,20,No,Single,Other,1,2,No
5885,57,Female,Human Resources,HR Executive,4200,6,40,Yes,Married,Technical Degree,2,3,No
5886,41,Male,IT,Software Engineer,4872,0,11,Yes,Divorced,Marketing,3,4,No
5887,26,Male,Operations,Operations Manager,6560,8,34,No,Married,Technical Degree,4,1,Yes
5888,22,Male,Research & Development,Laboratory Technician,4201,4,29,Yes,Single,Medical,4,4,Yes
5889,47,Female,Operations,Coordinator,3915,0,5,No,Married,Technical Degree,3,3,No
5890,35,Female,Research & Development,Research Scientist,3989,4,29,No,Divorced,Technical Degree,2,2,No
5891,26,Male,Operations,Operations Manager,4516,5,18,No,Divorced,Technical Degree,4,2,No
5892,32,Male,Sales,Sales Representative,3470,0,38,Yes,Single,Medical,1,4,No
5893,55,Female,Operations,Coordinator,4527,1,14,Yes,Married,Medical,4,4,No
5894,50,Female,Sales,Sales Executive,6083,3,10,No,Divorced,Other,1,4,No
5895,39,Female,Finance,Financial Analyst,7815,12,40,Yes,Single,Marketing,1,3,No
5896,39,Female,Finance,Finance Manager,5806,0,29,Yes,Married,Other,1,3,Yes
5897,43,Male,Research & Development,Data Analyst,7022,12,10,Yes,Divorced,Technical Degree,4,4,No
5898,43,Female,Research & Development,Data Analyst,6087,11,32,No,Married,Medical,2,4,No
5899,41,Male,Finance,Financial Analyst,3087,0,26,Yes,Single,Technical Degree,4,2,No
5900,18,Male,Sales,Sales Representative,2210,0,33,No,Divorced,Other,1,2,Yes
5901,38,Male,Sales,Sales Representative,5290,5,31,Yes,Married,Technical Degree,2,1,No
5902,50,Female,IT,BI Analyst,4217,3,24,No,Divorced,Life Sciences,1,2,No
5903,28,Male,Human Resources,HR Executive,4825,6,10,Yes,Single,Marketing,2,1,No
5904,23,Female,Finance,Accountant,4258,0,31,No,Divorced,Technical Degree,3,1,No
5905,40,Male,Research & Development,Laboratory Technician,7543,10,14,No,Single,Other,1,3,No
5906,51,Female,Operations,Coordinator,2998,2,12,No,Divorced,Life Sciences,1,1,No
5907,53,Male,Human Resources,HR Manager,6881,4,19,No,Married,Medical,4,4,No
5908,34,Female,IT,BI Analyst,6844,8,21,Yes,Married,Medical,4,1,Yes
5909,45,Female,IT,Software Engineer,6754,9,10,No,Married,Other,4,3,No
5910,50,Male,Finance,Financial Analyst,6294,6,35,Yes,Married,Medical,4,4,No
5911,20,Female,Sales,Account Manager,2802,2,37,Yes,Married,Technical Degree,1,4,No
5912,21,Male,Operations,Operations Analyst,6235,3,2,Yes,Divorced,Technical Degree,2,1,No
5913,50,Female,Research & Development,Research Scientist,5236,1,22,Yes,Single,Medical,2,2,Yes
5914,28,Male,Human Resources,HR Executive,6497,10,12,No,Single,Life Sciences,3,4,No
5915,19,Female,Human Resources,HR Manager,4397,1,13,No,Married,Marketing,1,1,No
5916,38,Female,Human Resources,HR Manager,4009,3,21,Yes,Divorced,Other,4,4,No
5917,56,Male,Finance,Accountant,3825,7,27,No,Divorced,Other,1,2,No
5918,49,Female,Human Resources,HR Manager,4023,0,7,Yes,Divorced,Medical,1,2,No
5919,37,Female,Finance,Financial Analyst,5662,5,34,Yes,Married,Life Sciences,2,3,No
5920,44,Male,IT,Software Engineer,7375,13,31,Yes,Single,Marketing,2,2,No
5921,24,Female,Sales,Sales Representative,4329,6,17,Yes,Divorced,Other,2,4,Yes
5922,52,Male,Finance,Finance Manager,5618,9,13,No,Single,Technical Degree,3,1,No
5923,20,Male,Finance,Finance Manager,4369,2,22,No,Divorced,Other,2,4,No
5924,31,Male,IT,System Administrator,4928,10,4,No,Divorced,Technical Degree,2,4,No
5925,32,Female,Finance,Financial Analyst,3743,0,6,Yes,Divorced,Medical,1,3,Yes
5926,59,Female,Operations,Operations Manager,5932,7,1,No,Single,Medical,3,1,No
5927,53,Male,Sales,Sales Executive,7024,10,12,No,Single,Marketing,3,4,No
5928,57,Male,IT,Software Engineer,1959,3,6,Yes,Married,Technical Degree,3,2,No
5929,38,Male,Finance,Accountant,6483,5,21,No,Divorced,Marketing,2,2,Yes
5930,47,Male,Finance,Financial Analyst,5033,4,18,Yes,Single,Life Sciences,1,2,No
5931,27,Female,Finance,Finance Manager,4531,7,8,No,Married,Life Sciences,4,4,No
5932,31,Female,Operations,Coordinator,7964,8,25,Yes,Single,Technical Degree,1,3,Yes
5933,21,Male,Research & Development,Laboratory Technician,3395,3,17,No,Single,Medical,4,3,No
5934,18,Male,Operations,Coordinator,1500,0,36,Yes,Single,Other,3,1,No
5935,27,Female,Sales,Account Manager,6292,7,14,Yes,Single,Marketing,1,2,No
5936,31,Female,Operations,Operations Analyst,6767,12,11,No,Single,Life Sciences,1,4,No
5937,30,Female,IT,System Administrator,4716,7,9,No,Single,Other,3,1,No
5938,52,Male,Operations,Operations Analyst,3169,4,32,No,Single,Technical Degree,3,4,No
5939,27,Female,Sales,Account Manager,4883,5,19,No,Married,Marketing,4,2,No
5940,26,Male,Operations,Operations Analyst,5001,7,21,Yes,Single,Life Sciences,4,3,Yes
5941,31,Female,IT,System Administrator,5099,6,22,Yes,Married,Technical Degree,4,1,No
5942,57,Male,Operations,Operations Manager,5096,4,18,No,Single,Medical,1,2,No
5943,51,Male,Operations,Coordinator,6413,6,11,Yes,Divorced,Marketing,1,3,No
5944,57,Female,Human Resources,Recruiter,4830,5,19,No,Single,Other,3,3,No
5945,51,Male,Human Resources,HR Manager,4392,5,37,No,Married,Medical,1,4,No
5946,50,Female,IT,System Administrator,7437,4,1,No,Single,Medical,3,3,No
5947,54,Male,IT,Software Engineer,4165,2,23,No,Single,Other,3,1,No
5948,29,Male,IT,Software Engineer,4703,4,32,Yes,Single,Other,4,4,No
5949,39,Male,IT,Software Engineer,5335,4,38,Yes,Single,Medical,1,2,No
5950,21,Male,Finance,Accountant,5244,0,38,No,Married,Medical,2,4,No
5951,27,Female,Sales,Account Manager,4508,8,10,No,Single,Medical,1,2,Yes
5952,53,Female,Human Resources,HR Manager,2827,0,6,No,Single,Technical Degree,1,3,No
5953,26,Female,Research & Development,Research Scientist,8346,5,20,Yes,Married,Other,1,3,No
5954,37,Female,Sales,Sales Executive,3830,8,5,No,Divorced,Life Sciences,1,1,No
5955,33,Male,Finance,Financial Analyst,4686,3,15,No,Divorced,Marketing,4,4,No
5956,58,Female,Operations,Operations Manager,4172,7,13,No,Single,Life Sciences,1,4,No
5957,29,Male,Research & Development,Data Analyst,4388,5,20,No,Single,Medical,1,3,Yes
5958,45,Male,IT,System Administrator,4561,1,26,Yes,Married,Marketing,3,2,No
5959,28,Male,Sales,Sales Executive,7259,9,6,Yes,Divorced,Technical Degree,3,2,No
5960,47,Female,Finance,Accountant,5403,8,19,No,Divorced,Other,3,4,No
5961,33,Female,Research & Development,Laboratory Technician,6370,8,37,Yes,Divorced,Life Sciences,2,1,No
5962,23,Female,Human Resources,HR Executive,4515,5,5,Yes,Married,Life Sciences,4,1,No
5963,58,Male,Finance,Financial Analyst,5088,4,40,Yes,Married,Technical Degree,4,2,No
5964,37,Male,Research & Development,Research Scientist,8111,15,22,No,Divorced,Other,3,2,No
5965,34,Female,Research & Development,Research Scientist,3751,3,20,Yes,Divorced,Technical Degree,4,4,No
5966,49,Male,Research & Development,Research Scientist,7612,4,39,Yes,Divorced,Life Sciences,3,2,No
5967,18,Female,Research & Development,Laboratory Technician,5088,0,40,No,Married,Life Sciences,1,4,No
5968,46,Female,IT,Software Engineer,5313,4,24,No,Divorced,Marketing,3,1,No
5969,23,Male,Research & Development,Laboratory Technician,4563,5,18,No,Divorced,Other,1,2,No
5970,39,Male,Sales,Sales Executive,6740,3,26,Yes,Single,Other,2,3,No
5971,21,Male,Finance,Accountant,5698,3,20,No,Married,Life Sciences,3,1,No
5972,44,Male,Operations,Coordinator,6801,9,28,No,Married,Life Sciences,4,2,No
5973,19,Female,Human Resources,HR Executive,4302,1,20,Yes,Married,Technical Degree,4,2,No
5974,31,Male,Sales,Sales Representative,4258,8,34,Yes,Married,Marketing,2,4,No
5975,56,Male,Finance,Finance Manager,3059,2,31,Yes,Married,Medical,4,4,No
5976,50,Female,Research & Development,Laboratory Technician,3686,11,35,No,Divorced,Technical Degree,1,2,No
5977,50,Female,Sales,Sales Executive,1500,4,11,Yes,Divorced,Other,4,1,No
5978,46,Female,IT,System Administrator,3910,2,3,No,Divorced,Other,1,3,Yes
5979,43,Female,Finance,Accountant,7225,11,3,Yes,Married,Medical,1,3,Yes
5980,50,Male,IT,System Administrator,5779,2,25,No,Married,Technical Degree,1,1,Yes
5981,43,Male,Finance,Accountant,5545,6,5,Yes,Single,Marketing,4,3,No
5982,50,Female,Human Resources,HR Executive,3061,1,20,Yes,Married,Life Sciences,4,4,Yes
5983,26,Female,IT,System Administrator,4555,2,13,Yes,Single,Technical Degree,2,2,No
5984,33,Female,Finance,Accountant,7352,6,35,Yes,Married,Medical,2,4,No
5985,32,Male,Human Resources,Recruiter,2500,7,38,No,Married,Marketing,1,2,No
5986,32,Male,IT,System Administrator,4009,7,19,No,Married,Life Sciences,3,2,Yes
5987,19,Female,Human Resources,HR Executive,3275,1,1,No,Divorced,Other,4,4,Yes
5988,28,Male,Human Resources,HR Manager,3099,3,22,No,Single,Medical,2,1,No
5989,28,Female,Finance,Financial Analyst,3807,6,35,Yes,Married,Life Sciences,1,4,Yes
5990,60,Female,IT,BI Analyst,8434,7,40,Yes,Married,Technical Degree,1,3,No
5991,24,Male,IT,BI Analyst,3658,0,17,No,Married,Life Sciences,1,3,No
5992,33,Female,Sales,Sales Representative,3638,0,25,Yes,Married,Other,2,4,Yes
5993,36,Male,Finance,Finance Manager,6864,8,19,Yes,Married,Technical Degree,1,2,No
5994,43,Female,Human Resources,Recruiter,6567,6,22,No,Married,Other,1,1,No
5995,56,Female,Finance,Financial Analyst,10054,16,24,No,Divorced,Technical Degree,3,1,No
5996,22,Female,Finance,Financial Analyst,3008,3,7,No,Divorced,Technical Degree,2,4,No
5997,52,Female,Finance,Accountant,3863,4,39,Yes,Divorced,Medical,2,4,No
5998,18,Female,Finance,Financial Analyst,2582,0,26,Yes,Single,Life Sciences,4,3,No
5999,43,Female,Human Resources,HR Manager,6255,5,36,No,Divorced,Marketing,3,2,No
6000,53,Female,Research & Development,Data Analyst,4114,5,7,Yes,Married,Technical Degree,4,3,No
6001,47,Female,Human Resources,Recruiter,4245,10,28,Yes,Divorced,Other,1,3,No
6002,51,Male,Operations,Operations Analyst,4950,4,6,Yes,Divorced,Life Sciences,3,4,Yes
6003,28,Male,Operations,Operations Analyst,5716,6,39,No,Married,Other,4,2,No
6004,31,Female,IT,System Administrator,5957,8,25,No,Divorced,Technical Degree,4,4,No
6005,52,Female,Finance,Financial Analyst,4510,4,15,Yes,Single,Other,4,3,No
6006,58,Female,Operations,Coordinator,5695,3,6,No,Married,Technical Degree,3,1,No
6007,21,Male,Human Resources,Recruiter,5766,3,8,No,Divorced,Life Sciences,1,2,No
6008,57,Female,Research & Development,Laboratory Technician,4874,6,11,No,Divorced,Medical,4,4,No
6009,31,Female,Research & Development,Laboratory Technician,5127,8,37,No,Divorced,Medical,2,1,No
6010,50,Female,Finance,Finance Manager,6255,8,3,Yes,Married,Other,2,1,No
6011,45,Male,Finance,Financial Analyst,5384,3,28,No,Divorced,Marketing,1,3,No
6012,22,Female,Finance,Financial Analyst,6389,4,23,Yes,Single,Technical Degree,2,3,Yes
6013,24,Female,Sales,Sales Representative,6089,6,28,No,Married,Medical,1,1,No
6014,20,Female,Research & Development,Research Scientist,7188,1,31,No,Divorced,Marketing,3,3,No
6015,26,Female,Research & Development,Research Scientist,5139,0,23,Yes,Divorced,Technical Degree,1,4,Yes
6016,35,Male,Sales,Sales Representative,4341,7,33,Yes,Single,Marketing,1,1,No
6017,42,Male,Sales,Account Manager,5155,5,32,No,Married,Technical Degree,2,1,No
6018,19,Male,Finance,Finance Manager,3394,1,10,Yes,Single,Technical Degree,4,4,No
6019,20,Male,Research & Development,Research Scientist,1696,2,33,No,Married,Marketing,4,3,No
6020,58,Male,IT,Software Engineer,5715,12,23,Yes,Single,Technical Degree,4,4,No
6021,28,Male,Operations,Operations Analyst,5628,7,5,Yes,Single,Life Sciences,1,4,Yes
6022,41,Female,Sales,Account Manager,6221,5,39,Yes,Married,Other,4,2,Yes
6023,53,Male,Human Resources,HR Manager,7301,12,1,Yes,Married,Technical Degree,3,4,No
6024,54,Female,Operations,Operations Manager,6394,8,20,No,Single,Technical Degree,2,3,No
6025,42,Male,Finance,Accountant,5944,10,6,Yes,Single,Medical,4,2,No
6026,41,Male,Research & Development,Data Analyst,7832,10,25,Yes,Single,Medical,1,4,Yes
6027,39,Female,Sales,Sales Representative,5707,10,25,Yes,Divorced,Life Sciences,4,2,No
6028,22,Male,Human Resources,HR Manager,5287,4,4,Yes,Married,Marketing,2,2,No
6029,60,Male,Sales,Sales Representative,5913,0,39,No,Single,Marketing,2,1,Yes
6030,53,Female,Sales,Sales Executive,5590,5,11,No,Single,Life Sciences,1,3,Yes
6031,43,Male,IT,System Administrator,3157,3,12,No,Married,Life Sciences,4,4,No
6032,19,Male,Finance,Accountant,4513,1,4,Yes,Divorced,Other,3,1,No
6033,58,Male,IT,BI Analyst,6194,8,17,Yes,Divorced,Marketing,2,2,Yes
6034,43,Male,Human Resources,HR Executive,5345,7,37,No,Divorced,Medical,1,3,Yes
6035,42,Male,IT,System Administrator,7529,7,36,No,Divorced,Other,4,1,No
